Symbol,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,coinMarketCapLink,regularMarketPrice,preMarketPrice,logo_url,trailingPegRatio
EMR,63136,Industrials,86700,"Emerson Electric Co., a technology and engineering company, provides various solutions for customers in industrial, commercial, and residential markets in the Americas, Asia, the Middle East, Africa, and Europe. The company operates through Automation Solutions, and Commercial & Residential Solutions segments. The Automation Solutions segment offers measurement and analytical instrumentation, industrial valves and equipment, and process control software and systems. It serves oil and gas, refining, chemicals, power generation, life sciences, food and beverage, automotive, pulp and paper, metals and mining, and municipal water supplies markets. The Commercial & Residential Solutions segment offers residential and commercial heating and air conditioning products, such as reciprocating and scroll compressors; system protector and flow control devices; standard, programmable, and Wi-Fi thermostats; monitoring equipment and electronic controls for gas and electric heating systems; gas valves for furnaces and water heaters; ignition systems for furnaces; sensors and thermistors for home appliances; and temperature sensors and controls. It also provides reciprocating, scroll, and screw compressors; precision flow controls; system diagnostics and controls; and environmental control systems. In addition, this segment offers air conditioning, refrigeration, and lighting control technologies, as well as facility design and product management, site commissioning, facility monitoring, and energy modeling services; tools for professionals and homeowners; and appliance solutions. Emerson Electric Co. was incorporated in 1890 and is headquartered in Saint Louis, Missouri.",Saint Louis,314 553 2000,MO,United States,[],https://www.emerson.com,1,8000 West Florissant Avenue,Specialty Industrial Machinery,0.22086,0.16450001,0.4094,2560000000,0.066,0.17860001,4244000000,79,buy,7563000000,2015000064,98,95.26,0.481,1.064,0.06973,22,98.73,74.489,0.24943,120,2528999936,12131999744,19215998976,4.277,USD,32.335,0.719,2.2,NYQ,Emerson Electric Company,Emerson Electric Co.,America/New_York,EST,True,-18000000,EQUITY,EMR,finmb_269231,us_market,,3.453,,15.637,,,4.19,,595699008,,,,14.875,5280872,0.0089,,1632960000,0.76736,3160999936,3.455,,,6.4040337,0.0072500003,1696032000,,1656547200,1.62,1663200000,586628730,1.396831,66361757696,2,,1165881600,2:1,,,,0.469,2.953075,1665705600,1.66,,22.735085,,0.009,4747047,,,,96.66,96.74,87.55985,0.02074281,0.38830003,,97.23,,3970770,96.66,91.837,2.005,96.74,,3970770,,,2.06,1660176000,,,95.13,USD,27.571636,2177537,,,,56746287104,,,3561772,95.13,95.38,800,2177537,100,,2.69,72.41,95.2,False,0.024,800,97.23,,95.26,97,https://logo.clearbit.com/emerson.com,2.2417
ENPH,94538,Technology,2260,"Enphase Energy, Inc., together with its subsidiaries, designs, develops, manufactures, and sells home energy solutions for the solar photovoltaic industry in the United States and internationally. The company offers semiconductor-based microinverter, which converts energy at the individual solar module level, and combines with its proprietary networking and software technologies to provide energy monitoring and control services. It also offers AC battery storage systems; Envoy communications gateway; and Enlighten cloud-based monitoring service, as well as other accessories. The company sells its solutions to solar distributors; and directly to large installers, original equipment manufacturers, strategic partners, and homeowners, as well as through its legacy product upgrade program or online store. Enphase Energy, Inc. was incorporated in 2006 and is headquartered in Fremont, California.",Fremont,877 774 7000,CA,United States,[],https://www.enphase.com,1,47281 Bayside Parkway,Solar,0.19927,0.14671,0.40973,588275968,0.806,0.17608,402303008,194,buy,554422000,416894240,317,267.38,4.155,3.603,0.09017,26,308.92,214.642,0.47096002,363,1417296000,1309428992,2018919936,10.427,USD,14.952,3.297,2.1,NGM,"Enphase Energy, Inc.","Enphase Energy, Inc.",America/New_York,EST,False,-18000000,EQUITY,ENPH,finmb_40485464,us_market,,19.597,,98.344,,,2.7,,134912000,,,,5.401,4447344,0.0328,,1640908800,0.74714,296200000,0.673,,,49.50565,0.020399999,1703980800,,1664496000,1.1,1663200000,132403151,1.469786,39564144640,2,,,,,,,4.264,17.867361,1665705600,1.84,,99.02963,,0.0436,4205433,,,,274.54,272.16,243.0992,,0,,273.09,,3059970,274.54,298.6812,,272.16,,3059970,,,,,,,262.52,USD,397.29572,2891941,,,,36072771584,,,3791591,262.52,267.55,1000,2891941,339.92,,,113.4,267.12,False,,900,273.09,,267.38,273.005,https://logo.clearbit.com/enphase.com,1.9406
EOG,77002,Energy,2800,"EOG Resources, Inc., together with its subsidiaries, explores for, develops, produces, and markets crude oil, and natural gas and natural gas liquids. Its principal producing areas are in New Mexico and Texas in the United States; and the Republic of Trinidad and Tobago. As of December 31, 2021, it had total estimated net proved reserves of 3,747 million barrels of oil equivalent, including 1,548 million barrels (MMBbl) of crude oil and condensate reserves; 829 MMBbl of natural gas liquid reserves; and 8,222 billion cubic feet of natural gas reserves. The company was formerly known as Enron Oil & Gas Company. EOG Resources, Inc. was incorporated in 1985 and is headquartered in Houston, Texas.",Houston,713 651 7000,TX,United States,[],https://www.eogresources.com,1,1111 Bagby Street,Oil & Gas E&P,0.42648,0.2141,0.68075997,8238000128,0.924,0.27791,11370000384,125,buy,13034000000,2820875008,150,127.4,1.458,1.413,0.12344,29,149.69,23.785,0.2643,177,3072999936,5306999808,26659999744,5.244,USD,45.808,1.18,1.8,NYQ,"EOG Resources, Inc.","EOG Resources, Inc.",America/New_York,EST,True,-18000000,EQUITY,EOG,finmb_269660,us_market,,3.038,,7.122,,,5.75,,585089984,,,,34.789,7499039,0.0128,,1640908800,0.89662004,5708000256,-1.044,,,3.662077,0.00447,1703980800,,1656547200,2.1,1663200000,583864436,1.501473,80980803584,2,,1396310400,2:1,,,,1.467,2.7959664,1665705600,0.87,,22.156523,,0.0128,7057851,,,,132.08,131.51,122.7119,0.011356753,0.2385,,131.83,,3960630,132.08,134.9866,1.5,131.51,,3960630,,,3,1665705600,,,126.86,USD,,2409351,,,,74540466176,,,3852996,126.86,127.4,800,2409351,150.88,,1.65,88.29,127.21,False,0.0223,800,131.83,,127.4,132,https://logo.clearbit.com/eogresources.com,2.6459
EPAM,18940,Technology,61300,"EPAM Systems, Inc. provides digital platform engineering and software development services worldwide. The company offers engineering services, including requirements analysis and platform selection, customization, cross-platform migration, implementation, and integration; infrastructure management services, such as software development, testing, and maintenance with private, public, and mobile infrastructures for application, database, network, server, storage, and systems operations management, as well as monitoring, incident notification, and resolution services; and maintenance and support services. It also provides operation solutions comprising integrated engineering practices and smart automation; and optimization solutions that include software application testing, test management, automation, and consulting services to enable customers enhance their existing software testing and quality assurance practices, as well as other testing services that identify threats and close loopholes to protect its customers' business systems from information loss. In addition, the company offers business, experience, technology, data, and technical advisory consulting services; and digital and service design solutions, which comprise strategy, design, creative, and program management services, as well as physical product development, such as artificial intelligence, robotics, and virtual reality. It serves the financial services, travel and consumer, software and hi-tech, business information and media, life sciences and healthcare, and other industries. The company was founded in 1993 and is headquartered in Newtown, Pennsylvania.",Newtown,267 759 9000,PA,United States,[],https://www.epam.com,1,41 University Drive,Information Technology Services,0.16803,0.08207,0.33363998,516331008,0.356,0.14758,749828992,406,buy,1274447000,479804640,475,316.65,-0.835,3.446,0.12615,15,468.67,7.963,0.15145001,535,1353616000,208938000,4462477824,23.596,USD,78.438,3.334,1.7,NYQ,"EPAM Systems, Inc.","EPAM Systems, Inc.",America/New_York,EST,False,-18000000,EQUITY,EPAM,finmb_4773318,us_market,,4.177,,24.858,,,9.31,,56719600,,,,35.343,913584,0.0159,,1640908800,0.95584,366257984,5.6,,,8.959341,0.03143,1703980800,,1656547200,2.36,1663200000,55587321,1.677597,18638987264,2,,,,,,,-0.838,4.0247283,1665705600,1.74,,34.011814,,0.021300001,1250949,,,,318.12,315.98,338.9396,,0,,320.48,,347950,318.12,340.1564,,315.98,,347950,,,,,,,313.86,USD,56.544643,261000,,,,17960261632,,,383665,313.86,317.5,800,261000,684.3,,,168.59,303.01,False,,900,320.48,,316.65,317,https://logo.clearbit.com/epam.com,
EQIX,94065,Real Estate,11451,"Equinix (Nasdaq: EQIX) is the world's digital infrastructure company, enabling digital leaders to harness a trusted platform to bring together and interconnect the foundational infrastructure that powers their success. Equinix enables today's businesses to access all the right places, partners and possibilities they need to accelerate advantage. With Equinix, they can scale with agility, speed the launch of digital services, deliver world-class experiences and multiply their value.",Redwood City,650-598-6000,CA,United States,[],https://www.equinix.com,1,One Lagoon Drive,REIT—Specialty,0.37530997,0.09748,0.44458,2939555072,0.096,0.113000005,2461144064,571,buy,2787604000,2290738432,697.5,652.54,2.118,2.045,0.01626,22,731.14,153.617,0.06008,1000,1891310976,16328885248,6557643776,20.766,USD,72.477,1.681,2,NMS,"Equinix, Inc.","Equinix, Inc.",America/New_York,EST,True,-18000000,EQUITY,EQIX,finmb_28202,us_market,,9.909,,26.401,,,9.08,,90041200,,,,118.079,1349724,0.0148,,1640908800,0.97103,639265024,4.556,,,5.5263,0.00322,1703980800,,1656547200,2.38,1663200000,90750957,0.552689,64977735680,2,,1041292800,1:32,,,,2.165,8.9598465,1665705600,3.51,,71.86564,,0.0171,1104415,,,,654.58,659.99,658.96625,0.016575513,1.7009,,661.74,,511260,654.58,630.1052,10.85,659.99,,511260,,,12.4,1660608000,,,649.885,USD,143.2265,302747,,,,58755481600,,,490621,649.885,664.65,900,302747,853.42,,1.74,494.89,645.98,False,0.0223,800,661.74,,652.54,657.53,https://logo.clearbit.com/equinix.com,3.097
EQR,60606,Real Estate,2400,"Equity Residential is committed to creating communities where people thrive. The Company, a member of the S&P 500, is focused on the acquisition, development and management of residential properties located in and around dynamic cities that attract high quality long-term renters. Equity Residential owns or has investments in 305 properties consisting of 78,568 apartment units, located in Boston, New York, Washington, D.C., Seattle, San Francisco, Southern California and Denver.",Chicago,312-474-1300,IL,United States,[],https://www.equityapartments.com,1,Two North Riverside Plaza,REIT—Residential,0.61072,0.42709,0.63195,,0.115,0.27734,1637086976,59,hold,1515205000,,75,58.78,-0.255,0.214,0.02271,21,76.71,67.121,0.104729995,95,44788000,7807738880,2680606976,0.119,USD,7.139,0.097,2.6,NYQ,Equity Residential,Equity Residential,America/New_York,EST,True,-18000000,EQUITY,EQR,finmb_28209,us_market,,11.863,,19.425,,,1.05,,375016000,,,,27.56,5914641,0.015700001,,1640908800,0.93991995,1141774976,1.773,,,2.132801,0.01784,1703980800,,1664496000,3.02,1663200000,369887226,0.83714,31800551424,2,,1002844800,2:1,,,,-0.252,8.223301,1665705600,-2,,55.980953,,0.0216,4694110,,,,59.47,59.72,73.3135,0.040524635,0.86550003,,59.9482,,3009740,59.47,62.4382,2.41,59.72,,3009740,,,2.5,1663891200,,,58.7,USD,33.152847,1931522,,,,22043439104,,,2103824,58.7,59.01,1800,1931522,94.32,,3.24,58.15,58.54,False,0.0402,800,59.9482,,58.78,60.29,https://logo.clearbit.com/equityapartments.com,1.1919
EQT,15222-3111,Energy,693,"EQT Corporation operates as a natural gas production company in the United States. As of December 31, 2021, it had 25.0 trillion cubic feet of proved natural gas, natural gas liquids, and crude oil reserves across approximately 2.0 million gross acres, including 1.7 million gross acres in the Marcellus play. The company was founded in 1878 and is headquartered in Pittsburgh, Pennsylvania.",Pittsburgh,412 553 5700,PA,United States,[],https://www.eqt.com,1,625 Liberty Avenue,Oil & Gas E&P,0.41515,0.15055999,0.80933,,1.092,0.26371,5103218176,50,buy,4672261000,,60.5,33.5,,,,20,63.05,55.468,,85,43745000,5042068992,12292404224,0.118,USD,32.959,,1.9,NYQ,EQT Corporation,EQT Corporation,America/New_York,EST,True,-18000000,EQUITY,EQT,finmb_269924,us_market,,1.586,,3.82,,,0.5,,377955008,,,,33.251,28403419,0.0769,,1640908800,0.98584,1850722944,-3.711,,,1.0074885,0.00479,1703980800,,1664496000,2.38,1663200000,368310482,1.167649,19492538368,2,,1542067200,1837:1000,,,,,1.0300257,1665705600,0.09,,67,,0.0908,24124831,,,,36.34,35.89,40.89025,0.00082553655,0.0637,,35.89,,6427690,36.34,39.8606,0.03,35.89,,6427690,,,0.6,1667865600,,,33.41,USD,,5733013,,,,12661492736,,,8237713,33.41,33.5,1800,5733013,51.97,,,19.2,33.33,False,0.0154,900,35.89,,33.5,35.7235,https://logo.clearbit.com/eqt.com,0.1556
ES,01104,Utilities,9227,"Eversource Energy, a public utility holding company, engages in the energy delivery business. The company operates through Electric Distribution, Electric Transmission, Natural Gas Distribution, and Water Distribution segments. It is involved in the transmission and distribution of electricity; solar power facilities; and distribution of natural gas. The company operates regulated water utilities that provide water services to approximately 226,000 customers. It serves residential, commercial, industrial, municipal and fire protection, and other customers in Connecticut, Massachusetts, and New Hampshire. The company was formerly known as Northeast Utilities and changed its name to Eversource Energy in April 2015. Eversource Energy is based in Springfield, Massachusetts.",Springfield,800 286 5000,MA,United States,[],https://www.eversource.com,1,300 Cadwell Drive,Utilities—Regulated Electric,0.30728,0.12092,0.46694002,1996973952,0.212,0.20313999,3367395072,75,buy,4751056000,-290241984,89,84.28,0.092,0.767,0.02864,17,86.97,140.825,0.08979999,102,29540000,21423339520,10958657536,0.085,USD,31.778,0.364,2.4,NYQ,Eversource Energy (D/B/A),Eversource Energy,America/New_York,EST,True,-18000000,EQUITY,ES,finmb_292525,us_market,,4.327,,14.082,,,4.1,,343806016,,,,41.007,4263846,0.0123000005,,1640908800,0.81802005,1325172992,3.55,,,2.0552588,0.00379,1703980800,,1656547200,2.37,1663200000,345255015,0.510316,47418294272,2,,1367280000,2:1,,,,0.103,2.6441169,1665705600,3.17,,20.556097,,0.0162,4088831,,,,84.97,85.17,85.44245,0.02671531,0.6458,,85.58,,1513940,84.97,79.719,2.27,85.17,,1513940,,,2.55,1663891200,,,84.09,USD,23.740845,898830,,,,28975970304,,,1718927,84.09,84.64,900,898830,94.63,,2.77,70.54,81.75,False,0.0342,800,85.58,,84.28,85.11,https://logo.clearbit.com/eversource.com,2.9982
ESS,94403,Real Estate,1739,"Essex Property Trust, Inc., an S&P 500 company, is a fully integrated real estate investment trust (REIT) that acquires, develops, redevelops, and manages multifamily residential properties in selected West Coast markets. Essex currently has ownership interests in 246 apartment communities comprising approximately 60,000 apartment homes with an additional 6 properties in various stages of active development.",San Mateo,650-655-7800,CA,United States,[],https://www.essexapartmenthomes.com,1,1100 Park Place,REIT—Residential,0.65939003,0.21931,0.69451,,0.084,0.33306,1082488064,237,buy,1070627000,,290.5,209.23,-0.216,4.101,0.026889998,22,291.23,105.492,0.06342,351,53569000,6235043840,1641636992,0.827,USD,25.182,0.68,2.4,NYQ,"Essex Property Trust, Inc.","Essex Property Trust, Inc.",America/New_York,EST,True,-18000000,EQUITY,ESS,finmb_332646,us_market,,12.631,,19.156,,,4.44,,65087800,,,,92.697,1111225,0.0171,,1640908800,0.9803,360024000,6.478,,,2.2571387,0.01195,1703980800,,1664496000,2.14,1663200000,64082806,0.807663,20735799296,2,,,,,,,-0.216,8.295573,1665705600,5.62,,47.12387,,0.0234,966073,,,,210.94,211.61,269.9776,0.039451975,1.5742999,,213.45,,563960,210.94,216.6446,8.322,211.61,,563960,,,8.8,1664409600,,,209.23,USD,32.298546,495965,,,,13618320384,,,582465,209.23,219.57,900,495965,363.36,,2.92,205.24,209.26,False,0.0397,900,213.45,,209.23,210.94,https://logo.clearbit.com/essexapartmenthomes.com,3.8686
ETN,D04 Y0C2,Industrials,85947,"Eaton Corporation plc operates as a power management company worldwide. The company's Electrical Americas and Electrical Global segment provides electrical components, industrial components, power distribution and assemblies, residential products, single and three phase power quality and connectivity products, wiring devices, circuit protection products, utility power distribution products, power reliability equipment, and services, as well as hazardous duty electrical equipment, emergency lighting, fire detection, explosion-proof instrumentation, and structural support systems. Its Aerospace segment offers pumps, motors, hydraulic power units, hoses and fittings, and electro-hydraulic pumps; valves, cylinders, electronic controls, electromechanical actuators, sensors, aircraft flap and slat systems, and nose wheel steering systems; hose, thermoplastic tubing products, fittings, adapters, couplings, and sealing and ducting products; air-to-air refueling systems, fuel pumps, fuel inerting products, sensors, valves, and adapters and regulators; oxygen generation system, payload carriages, and thermal management products; and wiring connectors and cables, as well as hydraulic and bag filters, strainers and cartridges, and golf grips for manufacturers of commercial and military aircraft, and related after-market customers, as well as industrial applications. The company's Vehicle segment offers transmissions, clutches, hybrid power systems, superchargers, engine valves and valve actuation systems, locking and limited slip differentials, transmission controls, and fuel vapor components for the vehicle industry. Its eMobility segment provides voltage inverters, converters, fuses, onboard chargers, circuit protection units, vehicle controls, power distribution systems, fuel tank isolation valves, and commercial vehicle hybrid systems. Eaton Corporation plc was founded in 1911 and is based in Dublin, Ireland.",Dublin,353 1 637 2900,,Ireland,[],https://www.eaton.com,1,Eaton House,Specialty Industrial Machinery,0.18245001,0.116969995,0.32551,1648000000,-0.001,0.1337,3608000000,124,buy,6335000000,3324999936,160,155.75,0.19,0.968,0.04593,19,159.16,61.452,0.1453,186,623000000,10087999488,19775000576,1.564,USD,49.568,0.52,2,NYQ,"Eaton Corporation, PLC",Eaton Corporation plc,America/New_York,EST,True,-18000000,EQUITY,ETN,finmb_175265,us_market,,3.422,,18.756,,,6.54,,398600000,,,,37.503,4052193,0.010199999,,1640908800,0.84503,2312999936,3.49,,,4.1530013,0.00379,1703980800,,1656547200,2.01,1663200000,396698834,1.14112,67672715264,2,,1298937600,2:1,,,,0.188,3.1394157,1665705600,1.9,,23.814985,,0.010199999,3801215,,,,157.34,157.6,144.8357,0.018558536,0.5451,,158.16,,1653460,157.34,156.0496,2.92,157.6,,1653460,,,3.24,1667952000,,,155.51,USD,44.627506,724689,,,,62081949696,,,1912349,155.51,156.36,900,724689,173.68,,2.8,122.5,155.41,False,0.0222,900,158.16,,155.75,,https://logo.clearbit.com/eaton.com,2.0653
ETR,70113,Utilities,12000,"Entergy Corporation, together with its subsidiaries, engages in the production and retail distribution of electricity in the United States. The company operates in two segments, Utility and Entergy Wholesale Commodities. The Utility segment generates, transmits, distributes, and sells electric power in portions of Arkansas, Louisiana, Mississippi, and Texas, including the City of New Orleans; and distributes natural gas. The Entergy Wholesale Commodities segment engages in the ownership, operation, and decommissioning of nuclear power plants; and ownership of interests in non-nuclear power plants that sell electric power to wholesale customers, as well as provides services to other nuclear power plant owners. It generates electricity through gas, nuclear, coal, hydro, and solar power sources. The company sells energy to retail power providers, utilities, electric power co-operatives, power trading organizations, and other power generation companies. The company's power plants have approximately 24,000 megawatts (MW) of electric generating capacity, which include 5,000 MW of nuclear power. It delivers electricity to 3 million utility customers in Arkansas, Louisiana, Mississippi, and Texas. The company was founded in 1913 and is headquartered in New Orleans, Louisiana.",New Orleans,504 576 4000,LA,United States,[],https://www.entergy.com,1,639 Loyola Avenue,Utilities—Regulated Electric,0.29065,0.09928001,0.41535,2370128896,0.203,0.13193,3589326080,96,buy,4883866000,-4367705088,121,112.97,,0.865,0.0179,17,120.71,223.051,0.10578,135,579889024,26850797568,12349111296,2.851,USD,61.074,0.387,2.1,NYQ,Entergy Corporation,Entergy Corporation,America/New_York,EST,True,-18000000,EQUITY,ETR,finmb_269764,us_market,,3.884,,13.363,,,6.3,,200980992,,,,54.912,5316097,0.026099999,,1640908800,0.90703005,1226003968,7.969,,,2.0572917,0.00373,1703980800,,1656547200,4.07,1663200000,202480238,0.610537,47962800128,2,,,,,,,,1.8385794,1665705600,2.66,,17.931746,,0.0296,4619703,,,,114.71,115.16,113.89755,0.03277831,0.6589,,115.1961,,1532250,114.71,110.9712,3.76,115.16,,1532250,,,4.04,1660089600,,,112.93,USD,14.176183,961802,,,,22704822272,,,1279009,112.93,122.93,800,961802,126.82,,3.76,94.94,109.63,False,0.0385,800,115.1961,,112.97,,https://logo.clearbit.com/entergy.com,2.5997
ETSY,11201,Consumer Cyclical,2722,"Etsy, Inc. operates two-sided online marketplaces that connect buyers and sellers primarily in the United States, the United Kingdom, Germany, Canada, Australia, France, and India. Its primary marketplace is Etsy.com that connects artisans and entrepreneurs with various consumers. The company also offers Reverb, a musical instrument marketplace; Depop, a fashion resale marketplace; and Elo7, a Brazil-based marketplace for handmade and unique items. In addition, it offers various seller services, including Etsy Payments, a payment processing service; Etsy Ads, an advertising platform; and Shipping Labels, which allows sellers in the United States, Canada, the United Kingdom, Australia, and India to purchase discounted shipping labels. Further, the company provides various seller tools, including Shop Manager dashboard, a centralized hub for Etsy sellers to track orders, manage inventory, view metrics and statistics, and have conversations with their customers; and Sell on Etsy, an application to enable enhanced onboarding and video uploading. Additionally, it offers Etsy seller analytics pages that provides insights regarding traffic acquisition for their shops; Targeted Offers, a sales and promotions tool, and social media tool; and accounting and bookkeeping services. The company also provides educational resources comprising blog posts, video tutorials, Etsy Seller Handbook, Etsy.com online forums, and insights; Etsy Teams, a platform to build personal relationships with other Etsy sellers; and a Star Seller program. As of December 31, 2021, it connected a total of 7.5 million active sellers to 96.3 million active buyers; and had 120 million items for sale. The company was formerly known as Indieco, Inc changed its name to Etsy, Inc. in June 2006. Etsy, Inc. was founded in 2005 and is headquartered in Brooklyn, New York.",Brooklyn,718 880 3660,NY,United States,[],https://www.etsy.com,1,117 Adams Street,Internet Retail,0.19851999,0.17014,0.7071,566686976,0.106,0.17036,479225984,51,buy,1674602000,460714752,118,120.4,-0.251,2.934,0.07453,23,118.04,410.896,0.73867,186,1006689984,2388515072,2413968896,7.951,USD,18.936,2.282,2.3,NMS,"Etsy, Inc.","Etsy, Inc.",America/New_York,EST,False,-18000000,EQUITY,ETSY,finmb_28492682,us_market,,5.891,,29.673,,,3.88,,126781000,,,,5.9,12096052,0.0955,,1640908800,1.03641,410719008,2.691,,,20.40678,0.0074,1703980800,,1656547200,3.84,1663200000,125626412,1.808769,14219967488,2,,,,,,,-0.256,6.3233757,1665705600,-27.23,,31.030928,,0.1082,12542412,,,,121.34,120.4,104.75375,,0,,121.78,,2550300,121.34,115.6562,,120.4,,2550300,,,,,,,118.92,USD,44.741734,1824918,,,,15264432128,,,3370754,118.92,120.74,1100,1824918,226.41,,,67.01,120.5,False,,1100,121.78,,120.4,120.46,https://logo.clearbit.com/etsy.com,3.2754
EVRG,64105,Utilities,4930,"Evergy, Inc., together with its subsidiaries, engages in the generation, transmission, distribution, and sale of electricity in Kansas and Missouri, the United States. It generates electricity through coal, hydroelectric, landfill gas, uranium, and natural gas and oil sources, as well as solar, wind, other renewable sources. The company has approximately 10,100 circuit miles of transmission lines; 39,800 circuit miles of overhead distribution lines; and 13,000 circuit miles of underground distribution lines. It serves approximately 1,620,400 customers, including residences, commercial firms, industrials, municipalities, and other electric utilities. Evergy, Inc. was incorporated in 2017 and is headquartered in Kansas City, Missouri.",Kansas City,816 556 2200,MO,United States,[],https://www.evergyinc.com,1,1200 Main Street,Utilities—Regulated Electric,0.41752997,0.15156001,0.48959,1716000000,0.17,0.23701,2258400000,61,buy,2656700000,-696587520,64,63.23,0.039,0.498,0.02802,9,65.78,128.042,0.09101,75,22400000,11921699840,5408999936,0.098,USD,23.543,0.106,2.4,NYQ,"Evergy, Inc.","Evergy, Inc.",America/New_York,EST,False,-18000000,EQUITY,EVRG,finmb_283024,us_market,,4.724,,11.313,,,3.49,,229303008,,,,38.501,2654371,0.0116,,1640908800,0.86485,819800000,2.72,,,1.642295,0.00219,1703980800,,1656547200,1.99,1663200000,228603911,0.536109,25550178304,2,,548640000,2:1,,,,0.05,2.6991577,1665705600,4.7,,18.117477,,0.0137,2421164,,,,63.48,63.48,65.1376,0.032293636,0.6327,,63.81,,1570750,63.48,60.2572,2.05,63.48,,1570750,,,2.29,1660780800,,,62.88,USD,23.246323,1027517,,,,14599744512,,,2164673,62.88,63.47,1100,1027517,73.13,,3.23,54.12,63.15,False,0.0385,800,63.81,,63.23,,https://logo.clearbit.com/evergyinc.com,3.0736
EW,92614,Healthcare,15700,"Edwards Lifesciences Corporation provides products and technologies for structural heart disease, and critical care and surgical monitoring in the United States, Europe, Japan, and internationally. It offers transcatheter heart valve replacement products for the minimally invasive replacement of heart valves; and transcatheter heart valve repair and replacement products to treat mitral and tricuspid valve diseases. The company also provides the PASCAL and Cardioband transcatheter valve repair systems for minimally-invasive therapy. In addition, it offers surgical structural heart solutions, such as aortic surgical valve under the INSPIRIS name; KONECT RESILIA, a pre-assembled aortic tissue valved conduit for patients who require replacement of the valve, root, and ascending aorta; and HARPOON Beating Heart Mitral Valve Repair System for patients with degenerative mitral regurgitation. Further, the company provides critical care solutions, including advanced hemodynamic monitoring systems to measure a patient's heart function and fluid status in surgical and intensive care settings; and Acumen Hypotension Prediction Index software that alerts clinicians in advance of a patient developing dangerously low blood pressure. The company distributes its products through a direct sales force and independent distributors. Edwards Lifesciences Corporation was founded in 1958 and is headquartered in Irvine, California.",Irvine,949 250 2500,CA,United States,[],https://www.edwards.com,1,One Edwards Way,Medical Devices,0.33283,0.27177998,0.77779996,1531000064,-0.002,0.30754,1782300032,83,buy,3983600000,1102475008,113,73.11,-0.167,3.367,0.12797,21,111.62,11.488,0.26278,130,1515800064,682800000,5354999808,2.445,USD,8.6,2.265,2,NYQ,Edwards Lifesciences Corporatio,Edwards Lifesciences Corporation,America/New_York,EST,True,-18000000,EQUITY,EW,finmb_411220,us_market,,9.889,,29.711,,,2.52,,624334016,,,,7.492,7447517,0.012,,1640908800,0.84667,1455399936,1.349,,,9.758409,0.00813,1703980800,,1656547200,2.82,1663200000,614320184,1.141857,52953260032,2,,1590969600,3:1,,,,-0.17,8.523822,1665705600,2.69,,29.011906,,0.0121,6542224,,,,73.59,73.95,93.85985,,0,,74.52,,4310910,73.59,75.7506,,73.95,,4310910,,,,,,,73.09,USD,54.1957,1474736,,,,45645062144,,,5193388,73.09,73.42,900,1474736,131.73,,,67.13,73,False,,1300,74.52,,73.11,73.76,https://logo.clearbit.com/edwards.com,2.987
